BGP table version is 0, local router ID is 100.100.174.206
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal,
              r RIB-failure, S Stale, R Removed
Origin codes: i - IGP, e - EGP, ? - incomplete

   Network          Next Hop            Metric LocPrf Weight Path
*> 10.0.151.145/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.146/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.147/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.148/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.149/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.150/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.151/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.152/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.153/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.154/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.155/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.156/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.157/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.158/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.151.159/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.153.0/32    100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.1/32    100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.2/32    100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.3/32    100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.4/32    100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.5/32    100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.6/32    100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.7/32    100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.8/32    100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.9/32    100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.10/32   100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.11/32   100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.12/32   100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.13/32   100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.14/32   100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.15/32   100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.16/32   100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.17/32   100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.18/32   100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.19/32   100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.20/32   100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.21/32   100.100.243.130                        0 65084 64601 64847 64698 i
*> 10.0.153.22/32   100.100.243.130                        0 65084 64601 64847 64698 i
